rindex,observation,fault_code (ground truth),rationale,failure_mode (ground truth text)
10,engine fan does not turn off even after engine is warmed up,e88. ENGINE FAN RUNS CONSTANTLY.,"If the engine fan continues to run at all times and does not shut off after the engine reaches normal operating temperature, it matches the description of the fault code indicating constant fan operation.",engine fan runs constantly.
11,Turn signal and high beam dashboard lights do not come on when using the controls.,e27. TURN SIGNAL INDICATORS AND HIGH BEAMS ON INDICATOR DO NOT ILLUMINATE.,This observation directly matches the fault description and would be noticed by an operator when they attempt to use the turn signals or high beams and see no indicator lights on the dashboard.,turn signal indicators and high beams on indicator do not illuminate.
12,one or both blackout stoplights do not come on when using the blackout light switch,e57. ONE OR BOTH BLACKOUT STOPLIGHTS DO NOT OPERATE.,"If the operator notices that the blackout stoplights fail to illuminate when the blackout light setting is selected, this directly leads to the detection of this specific malfunction as outlined in the troubleshooting procedure.",one or both blackout stoplights do not operate.
13,fuel gauge does not light up when dashboard lights are turned on,e17a. FUEL GAGE DOES NOT ILLUMINATE.,"If the fuel gauge fails to illuminate when the operator turns on the panel lights, it may indicate a burned-out bulb, faulty wiring, or switch position issue as covered in the troubleshooting procedure.",fuel gage does not illuminate.
14,loud rattling noise and excessive vibration coming from the exhaust while the engine is running,c1. EXHAUST SYSTEM UNUSUALLY NOISY OR VIBRATES EXCESSIVELY DURING ENGINE,"A loud rattling noise and excessive vibration from the exhaust system are direct signs of exhaust system problems such as loose or damaged components, which aligns with this fault code.",exhaust system unusually noisy or vibrates excessively during engine
15,chemical detector does not turn on when master power switch is set to ON,e78. CHEMICAL DETECTOR DOES NOT OPERATE.,"If the chemical detector fails to power up when the system is energized, it could indicate a tripped circuit breaker or an internal fault, as outlined in the troubleshooting procedure.",chemical detector does not operate.
16,Driver Visual Enhancement system does not turn on when power switch is engaged,u5. NO POWER TO DRIVER VISUAL ENHANCEMENT (DVE),"If the DVE does not power up when the operator attempts to turn it on, this indicates a possible loss of electrical power to the unit, which aligns with the troubleshooting steps focused on checking circuit breakers and confirming power supply.",no power to driver visual enhancement (dve)
17,the GPS receiver does not turn on when vehicle power is on,u4. NO POWER TO PRECISION LIGHTWEIGHT GLOBAL POSITIONING SYSTEM RECEIVER (PLGR),"If the PLGR does not power up with the vehicle's electrical system turned on, it could indicate there is no power reaching the receiver, possibly due to a tripped circuit breaker or a power distribution issue.",no power to precision lightweight global positioning system receiver (plgr)
18,Steering wheel turns but front wheels do not move or respond,p4. NO RESPONSE WHEN TURNING STEERING WHEEL.,"If the operator turns the steering wheel and the front wheels do not move, it indicates a serious loss of steering function, aligning directly with the fault code's description.",no response when turning steering wheel.
19,no air is coming out of the rear gladhands when attempting to connect trailer,j4. NO AIR PRESSURE PRESENT AT REAR GLADHAND(S).,"If no air is present at the rear gladhands when trying to supply air to a trailer, it indicates a possible issue with the air supply system, such as a blockage or leak in the associated hoses, or a problem with valves in the distribution system.",no air pressure present at rear gladhand(s).
20,a lot of water comes out when draining air tanks,j2. LARGE QUANTITY OF MOISTURE EXPELLED FROM AIR RESERVOIRS.,"If the operator notices an unusually large amount of water being expelled during the draining of the air reservoirs, it indicates excessive moisture buildup within the compressed air system.",large quantity of moisture expelled from air reservoirs.
21,One or both rear blackout stoplights won't turn on when using blackout mode.,e57. ONE OR BOTH BLACKOUT STOPLIGHTS DO NOT OPERATE.,"If the operator notices that the blackout stoplights fail to illuminate during blackout drive conditions, this directly aligns with the described fault code and would lead them to check the lights and circuit breaker as specified.",one or both blackout stoplights do not operate.
22,"cab tilt function, spare tire retainer, and suspension compression controls are unresponsive","t1. CAB TILT, SPARE TIRE RETAINER, AND SUSPENSION COMPRESSION DO NOT OPERATE.","If the operator tries to use the controls for the cab tilt, spare tire retainer, and suspension compression and none of these systems are functioning, this may indicate a loss of hydraulic or air pressure due to leaks or another failure in the shared system.","cab tilt, spare tire retainer, and suspension compression do not operate."
23,CTIS control panel lights come on but tires do not inflate when commanded,e80. CENTRAL TIRE INFLATION SYSTEM (CTIS) DOES NOT INFLATE TIRES.,"If the operator observes that the CTIS panel appears operational but the tires do not begin to inflate when the inflate command is given, it aligns with the fault description and steps in the troubleshooting procedures.",central tire inflation system (ctis) does not inflate tires.
24,one or more of the cab top marker lights do not turn on when the lights are switched on,e43. ONE OR MORE CAB TOP MARKER LIGHTS DO NOT ILLUMINATE.,This observation aligns with the fault code since the operator would notice specific marker lights on the cab top failing to illuminate while others might still work.,one or more cab top marker lights do not illuminate.
25,vehicle drifts or pulls to the left or right while driving on a straight road,"p2. WANDERS, PULLS TO ONE SIDE, OR SHIMMIES.","If the truck wanders, pulls to one side, or feels unstable and shimmies while driving, it could indicate issues such as loose or missing lugnuts, uneven tire pressures, or suspension problems as referenced in the troubleshooting procedure.","wanders, pulls to one side, or shimmies."
26,Personnel heater fan does not turn on when switched to the on position,e70. PERSONNEL HEATER FAN DOES NOT OPERATE.,"If the personnel heater fan fails to operate when the switch is in the on position, it indicates a problem with the fan circuit, such as a tripped circuit breaker or electrical fault as outlined in the troubleshooting steps.",personnel heater fan does not operate.
27,crane hoist does not retract when control is activated,u19. LIGHT MATERIAL HANDLING CRANE (LMHC) HOIST IN DOES NOT OPERATE.,"If the operator tries to retract the crane hoist using the control and nothing happens, this directly corresponds to the fault code describing inoperative hoist-in function.",light material handling crane (lmhc) hoist in does not operate.
28,blue smoke coming from the exhaust while the engine is running,a14. BLUE EXHAUST SMOKE.,"Blue exhaust smoke is typically a sign of engine oil burning in the combustion chamber, which could result from high oil levels or worn engine components. This matches the troubleshooting steps which focus on checking oil levels.",blue exhaust smoke.
29,engine starts but shakes a lot and does not accelerate properly,"a13. ENGINE STARTS BUT MISFIRES, RUNS ROUGH, OR LACKS POWER.","An engine that starts but runs rough, with noticeable shaking and poor acceleration, aligns with symptoms of misfiring or power loss, as described in the fault code and troubleshooting steps focusing on air or fuel issues.","engine starts but misfires, runs rough, or lacks power."
30,speedometer is dark and not visible at night when dashboard lights are on,e17c. SPEEDOMETER DOES NOT ILLUMINATE.,"If the speedometer does not illuminate while the rest of the dashboard lights are working, the operator may notice that it remains dark and unreadable during nighttime or low-light driving conditions.",speedometer does not illuminate.
31,water temperature gauge does not move or shows incorrect temperature while driving,e7. WATER TEMP GAGE DOES NOT OPERATE OR IS INACCURATE.,"If the water temperature gauge remains stationary or displays a reading that seems inaccurate despite engine operating conditions, it suggests a fault in the gauge or its electrical circuit, as indicated by the troubleshooting steps.",water temp gage does not operate or is inaccurate.
32,winch does not wind cable in when switch is operated,e83. 11K SELF-RECOVERY WINCH (SRW) DOES NOT REEL IN.,"If the winch doesn't pull the cable in when the operator tries to use it, it directly indicates the 'does not reel in' malfunction. This observation aligns with the symptom described in the fault code and troubleshooting steps, which involve checking electrical components and breakers.",11k self-recovery winch (srw) does not reel in.
33,truck rides rough and does not bounce back after hitting bumps,t2. SUSPENSION DOES NOT COMPRESS OR RETURN TO NORMAL PROPERLY.,"If the suspension does not compress or return to its normal state properly, the operator may notice that the vehicle feels unusually stiff, does not absorb shocks, and remains low or high after going over bumps. This suggests an issue with the suspension system’s ability to function as intended.",suspension does not compress or return to normal properly.
34,one of the marker lights on the cab roof does not turn on when lights are switched on,e43. ONE OR MORE CAB TOP MARKER LIGHTS DO NOT ILLUMINATE.,"This observation matches the fault code since it specifically addresses one or more, but not all, cab top marker lights failing to illuminate, which triggers the related troubleshooting steps.",one or more cab top marker lights do not illuminate.
35,one or both headlights do not turn on when switching to low beam,e38. ONE OR BOTH HEADLIGHT LOW BEAMS DO NOT ILLUMINATE.,"If either or both headlights fail to illuminate when the low beam setting is selected, it indicates a problem addressed by this fault code, such as bulb failure, wiring issues, or a bad switch.",one or both headlight low beams do not illuminate.
36,temperature gauge rises into the red zone during operation,d1. ENGINE OVERHEATS.,"A temperature gauge reading in the red zone is a clear indication that the engine is overheating, which directly relates to the fault code and is the first thing an operator would notice.",engine overheats.
37,one or both low beam headlights will not turn on when switched to low beam,e38. ONE OR BOTH HEADLIGHT LOW BEAMS DO NOT ILLUMINATE.,"If the operator notices that one or both low beam headlights fail to illuminate when attempting to use them, it directly matches the fault code described and is a typical reportable observation.",one or both headlight low beams do not illuminate.
38,Ether start switch does not light up when pressed with vehicle power on.,e16a. ETHER START SWITCH DOES NOT ILLUMINATE.,"If the ether start switch fails to illuminate during normal operation, this aligns with the fault code and indicates a possible electrical or indicator fault as referenced in the troubleshooting procedure.",ether start switch does not illuminate.
39,vehicle drifts to the left while driving on a straight road,"p2. WANDERS, PULLS TO ONE SIDE, OR SHIMMIES.","Drifting or pulling to one side while driving straight is a classic symptom that may indicate improper tire pressure, issues with wheel studs or lugnuts, or problems with the suspension system, as outlined in the troubleshooting steps.","wanders, pulls to one side, or shimmies."
40,Brake pedal pressed but the red master stop warning light does not turn on,e36. MASTER STOP INDICATOR DOES NOT ILLUMINATE.,"When the operator applies the brakes, the master stop indicator should illuminate as a warning; if it does not, this matches the reported problem. This observation could be due to a tripped circuit breaker or a fault in the indicator circuitry.",master stop indicator does not illuminate.
41,Steering wheel is difficult to turn or will not turn at all while driving,s1. STEERING HARD OR DOES NOT OPERATE.,"Difficulty in turning the steering wheel or the inability to turn it indicates potential issues with power steering fluid level, hydraulic leaks, or mechanical failure, directly matching the troubleshooting steps for this fault code.",steering hard or does not operate.
42,front brake air pressure warning light does not come on even when air pressure is low,e33. FRONT BRAKE AIR INDICATOR DOES NOT ILLUMINATE WHEN AIR PRESSURE IS BELOW 65 PSI.,"If the front brake air pressure warning light fails to illuminate when air pressure drops below the safe threshold, it aligns directly with this fault code and could be noticed during pre-operation checks or while monitoring gauges in operation.",front brake air indicator does not illuminate when air pressure is below 65 psi.
43,noticed oily residue or film present in the coolant reservoir,d2. OIL IN COOLING SYSTEM.,"An operator may observe an oily residue or film floating on top of the coolant inside the reservoir, which is a clear indication that oil has mixed with the cooling system fluid.",oil in cooling system.
44,hydraulic system is slow to respond or not working while operating controls,l1. LOSS OF HYDRAULIC PRESSURE (SINGLE STAGE PUMP).,"A noticeable loss of responsiveness or failure of hydraulic-powered systems (like steering or lifting mechanisms) can indicate insufficient hydraulic pressure, often caused by low hydraulic oil level or pump failure.",loss of hydraulic pressure (single stage pump).
45,Driver Visual Enhancement system does not turn on when switch is activated,u5. NO POWER TO DRIVER VISUAL ENHANCEMENT (DVE),"If the DVE system does not power on when the operator attempts to use it, this indicates a lack of electrical power to the unit, which matches the fault code description and the first step in the troubleshooting procedure.",no power to driver visual enhancement (dve)
46,truck does not slow down when pressing brake pedal,i2. REAR BRAKES DO NOT APPLY.,"If the rear brakes are not applying, the truck may not slow down as expected when the brake pedal is pressed, which is a clear sign for the operator that the braking system is not functioning correctly at the rear axle.",rear brakes do not apply.
47,battery loses charge quickly or vehicle will not start after being parked overnight,e86. ELECTRICAL SYSTEM DOES NOT MAINTAIN A CHARGE.,"Difficulty starting the vehicle or rapid battery discharge can result from problems with the battery, alternator belts, or electrical connections, all of which are checked in the troubleshooting process for this fault code.",electrical system does not maintain a charge.
48,overspeed warning light does not turn on when driving at high speed,m6. NO OVERSPEED WARNING LIGHT AND/OR OVERSPEED PRESSURE CHANGE.,"The observation of the overspeed warning light failing to illuminate while driving at speeds where it should be triggered aligns directly with the fault code, suggesting a malfunction in the warning system or its sensors.",no overspeed warning light and/or overspeed pressure change.
49,High engine temperature warning light comes on while driving,e22a. HIGH ENGINE TEMPERATURE INDICATOR ILLUMINATES,"The high engine temperature indicator illuminating suggests that the engine temperature is above a safe threshold, which could be due to actual overheating or a possible malfunction in the temperature sensing system.",high engine temperature indicator illuminates
50,clunking or rattling noise coming from underneath the truck while driving,g1. PROPELLER SHAFTS OR UNIVERSAL JOINTS UNUSUALLY NOISY WHEN OPERATING.,"A clunking or rattling noise from underneath the vehicle, especially when moving, can indicate a problem with the propeller shafts or universal joints, which are components that transmit power from the transmission to the wheels.",propeller shafts or universal joints unusually noisy when operating.
51,the blue high beam indicator light on the dashboard does not turn on when high beams are activated,e28. HIGH BEAMS ON INDICATOR DOES NOT ILLUMINATE.,"Operators are trained to expect the blue high beam indicator to illuminate when the high beam headlights are turned on. The absence of this light, despite high beam activation, is a clear sign of this fault.",high beams on indicator does not illuminate.
52,one or both rear blackout stoplights do not turn on when driving with blackout lights,e57. ONE OR BOTH BLACKOUT STOPLIGHTS DO NOT OPERATE.,"If the blackout stoplights do not illuminate when the blackout lighting system is in use, this matches the fault condition and would be easily observed by the operator or reported by someone following the vehicle at night.",one or both blackout stoplights do not operate.
53,speedometer needle does not move or shows incorrect speed while driving,e11. SPEEDOMETER DOES NOT OPERATE OR IS INACCURATE.,"If the speedometer needle does not move at all or displays an inaccurate speed while the vehicle is in motion, this directly matches the reported fault code. The issue could be due to a malfunction in the speedometer itself or related wiring problems.",speedometer does not operate or is inaccurate.
54,the digitization equipment does not turn on when the vehicle is started,u1. NO POWER TO DIGITIZATION RACK.,"If the digitization rack does not power on while other vehicle systems function normally, this points to a specific power issue with the rack, such as a blown fuse, wiring fault, or power supply problem.",no power to digitization rack.
55,side and rear marker lights are not turning on when the vehicle lights are switched on,e44. SIDE AND/OR REAR MARKER LIGHT(S) DO NOT ILLUMINATE.,"Failure of the side and/or rear marker lights to illuminate when the lighting system is activated directly matches the fault code. This could be noticed by the operator during pre- or post-mission checks, especially in low visibility conditions.",side and/or rear marker light(s) do not illuminate.
56,MTS screen does not turn on when power is applied,u7. NO POWER TO MOBILE TRACKING SYSTEM (MTS),"If the Mobile Tracking System does not power up, it suggests an issue with the electrical supply, possibly due to a tripped circuit breaker or a power distribution issue, as described in the troubleshooting steps.",no power to mobile tracking system (mts)
57,Heater does not turn on when the switch is activated in the M1079 shelter.,e113. M1079 HEATER DOES NOT OPERATE.,"If an operator attempts to use the heater and it does not power on, this directly relates to the heater not operating. The troubleshooting steps focus on verifying if power is supplied via the circuit breaker, confirming the observation.",m1079 heater does not operate.
58,Truck requires a much longer distance to come to a stop than usual,i1. EXCESSIVE BRAKING DISTANCE.,"The observation describes the main symptom for excessive braking distance, which could indicate issues like low brake air pressure or a fault in the braking system as per the troubleshooting steps.",excessive braking distance.
59,engine revs very high immediately after starting,a5. ENGINE OVERSPEEDS ON START.,"If the engine accelerates to a high speed right after the operator starts the truck, this matches the description of the engine overspeeding on start. This observation is likely to trigger this fault code according to the manual.",engine overspeeds on start.
60,transmission beeps for several seconds and will not shift when button is pressed,f1. WTEC II TRANSMISSION ECU PUSHBUTTON SHIFT SELECTOR (TEPSS) EMITS EIGHT SECONDS OF BEEPS AND/OR TRANSMISSION DOES NOT SHIFT GEARS.,The prolonged beeping and inability to shift gears are direct symptoms as described in the fault code and would likely be noticed by an operator attempting to drive the truck.,wtec ii transmission ecu pushbutton shift selector (tepss) emits eight seconds of beeps and/or transmission does not shift gears.
61,Driver Visual Enhancement system does not turn on when power switch is pressed,u5. NO POWER TO DRIVER VISUAL ENHANCEMENT (DVE),"If the DVE system does not power on when the operator tries to activate it, this directly aligns with the fault code indicating no electrical power is being supplied to the system. The troubleshooting procedures begin by verifying circuit breaker status and confirming absence of system power.",no power to driver visual enhancement (dve)
62,noticed uneven tread wear across some of the tires during inspection,k1. TIRES WEAR UNEVENLY OR EXCESSIVELY.,"Uneven or excessive tire wear can be visually identified during routine inspections and may indicate issues with inflation, alignment, or suspension components. Operators are likely to spot irregular tread patterns or worn spots.",tires wear unevenly or excessively.
63,high engine temperature gauge reading but warning light does not turn on,e22. HIGH ENGINE TEMPERATURE INDICATOR DOES NOT ILLUMINATE.,"If the high engine temperature indicator does not illuminate even when the temperature gauge shows a high reading, it indicates a possible issue with the indicator system, such as electrical faults or a tripped circuit breaker.",high engine temperature indicator does not illuminate.
64,chemical detector light does not turn on when switch is set,e24. CHEMICAL DETECTOR INDICATOR DOES NOT ILLUMINATE.,"The troubleshooting procedures focus on the illumination of the chemical detector indicator, starting with checking power to the circuit and suggesting maintenance if the indicator does not light up, even after resetting the breaker. An operator would likely report the light failing to come on when expected.",chemical detector indicator does not illuminate.
65,truck does not slow down when pressing the brake pedal,i2. REAR BRAKES DO NOT APPLY.,"If the rear brakes fail to apply, the operator would notice that pressing the brake pedal does not result in effective deceleration, indicating a braking issue, possibly caused by insufficient air pressure or rear brake malfunction.",rear brakes do not apply.
66,110 volt outlet J231 does not provide power when equipment is plugged in,e107. M1079 110 VAC OUTLET J231 DOES NOT OPERATE.,"If the operator notices that devices plugged into the J231 outlet are not receiving power, it directly indicates that the outlet is not operating, which matches the described fault code and aligns with the troubleshooting steps involving the circuit breaker.",m1079 110 vac outlet j231 does not operate.
67,pressing the ether start switch does not help engine start in cold weather,b2. ETHER STARTING AID DOES NOT OPERATE.,"If the ether starting aid fails to operate, the operator might notice that using the switch has no effect and the engine remains hard to start in cold conditions when starting fluid should assist.",ether starting aid does not operate.
68,crane does not respond or move when controls are used,u18. LIGHT MATERIAL HANDLING CRANE (LMHC) DOES NOT OPERATE.,"If the LMHC does not respond to operator inputs, it suggests a possible electrical or circuit breaker issue, as indicated in the troubleshooting steps. This scenario fits the fault code for the crane failing to operate.",light material handling crane (lmhc) does not operate.
69,Front wheels are hot to the touch and the truck is difficult to move after stopping,i4. FRONT BRAKES OVERHEAT AND/OR DO NOT RELEASE.,"Excessive heat at the front wheels and resistance to movement can result from brakes that are dragging or not releasing properly, matching the symptom of overheated or non-releasing front brakes.",front brakes overheat and/or do not release.
70,water temperature gauge does not light up when dashboard lights are turned on,e17e. WATER TEMP GAGE DOES NOT ILLUMINATE.,"If the water temperature gauge fails to illuminate when the operator turns on the dashboard panel lights, it matches the described fault and triggers the related troubleshooting procedures.",water temp gage does not illuminate.
71,high beam headlights turn on but the high beam indicator light on the dashboard does not light up,e28. HIGH BEAMS ON INDICATOR DOES NOT ILLUMINATE.,"If the high beams are functioning but the dashboard indicator does not illuminate, this matches the specific fault code indicating an issue with the indicator circuit rather than the headlight itself.",high beams on indicator does not illuminate.
72,Truck accelerates slowly and struggles to reach normal speed,a15. LOW ENGINE POWER.,"Difficulty accelerating and not achieving expected speed is a classic symptom for low engine power, which can be due to fuel contamination, restricted air flow, or improper engine oil level as listed in the troubleshooting procedures.",low engine power.
73,auxiliary panel lights do not turn on when the vehicle lights are switched on,e21. AUXILIARY PANEL DOES NOT ILLUMINATE.,"If the auxiliary panel does not illuminate when expected, it may indicate a tripped circuit breaker or an electrical issue as outlined in the troubleshooting steps.",auxiliary panel does not illuminate.
74,vehicle drifts to the left while driving on a straight road,"q1. WANDERS, PULLS TO ONE SIDE, OR SHIMMIES.","If the truck consistently drifts to one side on straight roads, this matches operator observations described in the fault code, indicating possible steering or brake imbalance.","wanders, pulls to one side, or shimmies."
75,crane hoist will not extend when control lever is used,u20. LIGHT MATERIAL HANDLING CRANE (LMHC) HOIST OUT DOES NOT OPERATE.,"If the operator attempts to extend the crane hoist and there is no movement, it would be observed as the hoist out not operating, matching the fault code description.",light material handling crane (lmhc) hoist out does not operate.
76,one or both front blackout marker lights do not turn on when switch is set to blackout mode,e46. ONE OR BOTH FRONT BLACKOUT MARKER LIGHTS DO NOT ILLUMINATE.,"If the operator notices that one or both of the front blackout marker lights fail to illuminate when the appropriate switch is engaged, this directly points to the fault described. This issue may stem from a tripped circuit breaker, faulty bulbs, or wiring problems.",one or both front blackout marker lights do not illuminate.
77,"Cab tilt mechanism, spare tire lift, and suspension lowering functions are all unresponsive when controls are activated.","t1. CAB TILT, SPARE TIRE RETAINER, AND SUSPENSION COMPRESSION DO NOT OPERATE.","If none of the hydraulic or pneumatic systems for the cab tilt, spare tire retainer, or suspension compression respond to control inputs, it could indicate a major issue such as hydraulic or air leaks, failed actuators, or loss of system pressure.","cab tilt, spare tire retainer, and suspension compression do not operate."
78,"CTIS does not inflate or deflate the tires when buttons are pressed, but no warning lights or error codes appear on the dashboard.",m5. CENTRAL TIRE INFLATION SYSTEM (CTIS) ECU INDICATES NO FAULT CODE BUT SYSTEM FAILS TO INFLATE OR DEFLATE.,"This observation directly matches the fault code, where the CTIS does not perform as expected despite there being no errors indicated by the ECU, suggesting a hidden or undetected malfunction.",central tire inflation system (ctis) ecu indicates no fault code but system fails to inflate or deflate.
79,rear wheels are extremely hot to the touch after driving,i7. REAR BRAKES OVERHEAT.,"Extremely hot rear wheels after driving can indicate that the rear brakes are overheating, potentially due to brake dragging or stuck brake components. This observation aligns with the fault code as confirmed by the troubleshooting procedure's focus on overheated rear brakes.",rear brakes overheat.
80,chemical detector indicator light does not turn on when switch is set to SER DRIVE,e24. CHEMICAL DETECTOR INDICATOR DOES NOT ILLUMINATE.,"If the chemical detector indicator fails to light when the vehicle's main light switch is in the SER DRIVE position, it could be due to a tripped circuit breaker or another electrical issue. This matches the troubleshooting steps provided.",chemical detector indicator does not illuminate.
81,"CTIS does not inflate or deflate tires when commanded, but no error lights or messages are shown on the ECU display.",m5. CENTRAL TIRE INFLATION SYSTEM (CTIS) ECU INDICATES NO FAULT CODE BUT SYSTEM FAILS TO INFLATE OR DEFLATE.,An operator noticing that the system does not change tire pressures as expected but sees no fault code on the CTIS ECU matches the fault description and aligns with the troubleshooting directive to notify Unit Maintenance.,central tire inflation system (ctis) ecu indicates no fault code but system fails to inflate or deflate.
82,Parking brake remains engaged and will not release after starting the truck and building up air pressure.,i3. PARKING BRAKE(S) WILL NOT RELEASE.,"If the parking brake will not release even after the air system is fully pressurized, it indicates a malfunction with the brake release mechanism, air system, or related components such as gladhands.",parking brake(s) will not release.
83,"hydraulic functions, such as steering or lifting, are slow or unresponsive",l1. LOSS OF HYDRAULIC PRESSURE (SINGLE STAGE PUMP).,Slow or unresponsive hydraulic functions can indicate low hydraulic oil level or a loss of hydraulic pressure in the system. This is consistent with operator complaints that would trigger inspection of oil levels and possibly a single stage pump issue.,loss of hydraulic pressure (single stage pump).
84,ether start switch does not light up when pressed,e16a. ETHER START SWITCH DOES NOT ILLUMINATE.,"The operator may notice that pressing the ether start switch fails to illuminate the indicator light, which directly indicates the issue described by the fault code.",ether start switch does not illuminate.
85,Vehicle pulls sharply to the left when braking,"i5. VEHICLE BRAKES UNEVENLY, BRAKES PULL TO ONE SIDE, OR GRAB.","If the vehicle pulls to one side when applying the brakes, it indicates uneven braking, which matches the description of this fault code and the troubleshooting focus on air pressure and brake performance.","vehicle brakes unevenly, brakes pull to one side, or grab."
86,engine revs extremely high immediately after starting,a5. ENGINE OVERSPEEDS ON START.,"If the engine rapidly accelerates to a high RPM as soon as it is started, this matches the description of the engine overspeeding on start, which could indicate a problem with the throttle or fuel control system.",engine overspeeds on start.
87,engine revs very high immediately after starting,a5. ENGINE OVERSPEEDS ON START.,"If the engine speed increases rapidly beyond normal idle levels as soon as the vehicle is started, it clearly matches the condition of 'engine overspeeds on start' described by the fault code.",engine overspeeds on start.
88,Hoist will not retract when trying to pull cable in using crane controls,u19. LIGHT MATERIAL HANDLING CRANE (LMHC) HOIST IN DOES NOT OPERATE.,"The operator would notice that activating the 'hoist in' function on the LMHC results in no movement of the cable or hook, indicating the system fails to operate in this direction.",light material handling crane (lmhc) hoist in does not operate.
89,tires do not lose air when deflate mode is selected on CTIS,e81. CENTRAL TIRE INFLATION SYSTEM (CTIS) DOES NOT DEFLATE TIRES.,"If the operator selects the CTIS deflate option and observes that tire pressure does not decrease as expected, it directly indicates that the CTIS is not performing its deflation function.",central tire inflation system (ctis) does not deflate tires.
90,blackout marker lights do not turn on when main light switch is set to blackout mode,e51. BLACKOUT MARKER LIGHTS DO NOT ILLUMINATE.,"If the blackout marker lights do not illuminate when the main light switch is set appropriately, it indicates a possible issue with the blackout lighting system or its circuit protection. The troubleshooting steps specifically address checking illumination and circuit breakers.",blackout marker lights do not illuminate.
91,none of the ceiling fluorescent lights in the van body turn on when switched,e99. ALL M1079 FLUORESCENT LIGHTS DO NOT ILLUMINATE.,"If all fluorescent lights in the M1079 do not illuminate, this is a clear sign of a potential issue with the circuit breaker or a complete loss of power to that system, as described in the troubleshooting procedures.",all m1079 fluorescent lights do not illuminate.
92,overspeed warning light does not illuminate when exceeding speed limit,m6. NO OVERSPEED WARNING LIGHT AND/OR OVERSPEED PRESSURE CHANGE.,"If the overspeed warning light fails to illuminate when the operator exceeds a known speed threshold, it directly matches the fault code describing the inoperative overspeed warning system.",no overspeed warning light and/or overspeed pressure change.
93,the 110V AC outlet J232 is not providing power when equipment is plugged in,e105. M1079 110 VAC OUTLET J232 DOES NOT OPERATE IN NORMAL MODE.,"If an operator attempts to use the J232 outlet in normal mode but notices that any plugged-in devices do not power on, this would indicate the outlet is not functioning. This matches the troubleshooting step of checking the circuit breaker and verifying outlet operation.",m1079 110 vac outlet j232 does not operate in normal mode.
